timestamp,entropy,ult_ready,sub_ready,skill_name,key_pressed,kill_count,kill_reward
1768609535.078493,90069.00,1,1,Idle,None,423,423
1768609535.2136645,91602.00,1,1,Idle,None,423,0
1768609535.516563,92152.00,1,1,Idle,None,423,0
1768609535.6489196,92473.00,1,1,Idle,None,423,0
1768609535.7836657,93839.00,1,1,Idle,None,423,0
1768609536.2019567,93068.00,1,1,Idle,None,423,0
1768609536.336809,93044.00,1,1,Idle,None,423,0
1768609536.8039224,93752.00,1,1,싸이킥 불릿,r,423,0
1768609536.9485207,116187.00,1,1,Idle,None,423,0
1768609537.492212,133901.00,1,1,싸이킥 불릿,r,436,13
1768609538.1081545,141326.00,1,1,Key:left,left,436,0
1768609538.8006914,130478.00,1,1,Key:e,e,444,8
1768609539.4573035,98875.00,1,1,Key:left,left,444,0
1768609540.1794863,96385.00,1,1,싸이킥 불릿,r,444,0
1768609540.9226475,94009.00,1,1,Key:e,e,445,1
1768609541.898299,90575.00,1,1,Key:i,i,448,3
1768609542.7745142,91251.00,1,1,Idle,None,452,4
1768609543.628712,133415.00,1,1,Idle,None,452,0
1768609544.5853207,108947.00,1,1,Key:up,up,469,17
1768609545.4934638,86717.00,1,1,Key:left,left,470,1
1768609546.4580295,84423.00,1,1,Key:e,e,470,0
1768609547.515871,86420.00,1,1,싸이킥 불릿,r,474,4
1768609548.6074674,83888.00,1,1,싸이킥 불릿,r,474,0
1768609549.7242117,79663.00,1,1,Key:right,right,474,0
1768609550.850551,96087.00,1,1,싸이킥 불릿,r,474,0
1768609552.0213811,114619.00,1,1,싸이킥 불릿,r,474,0
1768609553.2269025,154283.00,1,1,Key:right,right,491,17
1768609554.547166,126261.00,1,1,싸이킥 불릿,r,499,8
1768609556.005302,109393.00,1,1,Key:up,up,439,0
1768609557.3196042,114376.00,1,1,에르다 샤워,4,508,69
1768609558.6839252,78210.00,1,1,싸이킥 불릿,r,508,0
1768609560.1071858,101392.00,1,1,Key:e,e,508,0
1768609561.739207,124395.00,1,1,Key:left,left,526,18
1768609563.2902813,120782.00,1,1,Key:up,up,531,5
1768609564.770208,118937.00,1,1,싸이킥 불릿,r,541,10
1768609566.3723652,117822.00,1,1,싸이킥 불릿,r,545,4
1768609568.2635121,155011.00,1,1,싸이킥 불릿,r,561,16
1768609569.870259,93858.00,1,1,싸이킥 불릿,r,565,4
1768609571.5257013,134527.00,1,1,Key:right,right,574,9
1768609573.5037608,104971.00,1,1,싸이킥 불릿,r,578,4
1768609575.2712333,101351.00,1,1,Key:left,left,584,6
1768609577.0704207,109795.00,1,1,Key:e,e,591,7
1768609579.1377773,84466.00,1,1,Key:left,left,596,5
1768609581.08443,105759.00,1,1,Key:left,left,600,4
1768609582.9911544,127593.00,1,1,Key:up,up,617,17
1768609585.2735474,124790.00,1,1,Key:right,right,627,10
1768609587.243874,82572.00,1,1,Key:right,right,637,10
1768609589.3905203,84378.00,1,1,싸이킥 불릿,r,637,0
1768609593.8189673,131737.00,1,1,싸이킥 불릿,r,669,14
1768609596.0579445,95603.00,1,1,싸이킥 불릿,r,670,1
1768609598.5908651,122022.00,1,1,Key:e,e,685,15
1768609600.9336052,93514.00,1,1,Key:right,right,690,5
1768609603.4158049,115038.00,1,1,Key:g,g,707,17
1768609605.9216976,91249.00,1,1,Idle,None,707,0
1768609608.5044427,87764.00,1,1,Key:e,e,707,0
1768609611.4492095,105900.00,1,1,Key:e,e,727,20
1768609614.1763847,122912.00,1,1,Key:right,right,765,38
1768609617.1617055,91129.00,1,1,에르다 샤워,4,765,0
1768609620.0305755,118794.00,1,1,Key:e,e,778,13
1768609623.2259634,93340.00,1,1,싸이킥 불릿,r,785,7
1768609626.2389002,132667.00,1,1,싸이킥 불릿,r,801,16
1768609629.4990392,141052.00,1,1,싸이킥 불릿,r,817,16
1768609632.6176515,128412.00,1,1,Key:right,right,840,23
1768609636.1141093,98783.00,1,1,Key:e,e,848,8
1768609639.391452,117503.00,1,1,Key:right,right,864,16
1768609643.060231,123676.00,1,1,Key:e,e,878,14
1768609646.4751554,96443.00,1,1,싸이킥 불릿,r,878,0
1768609649.9136043,134044.00,1,1,Key:left,left,920,42
1768609653.4587338,92060.00,1,1,Key:e,e,920,0
1768609657.001755,81901.00,1,1,Key:left,left,931,11
1768609660.6294367,95970.00,1,1,Key:left,left,948,17
1768609664.7666829,84390.00,1,1,싸이킥 불릿,r,960,12
1768609668.5736012,104397.00,1,1,얼티메이트 : 갬빗,d,990,30
1768609672.8057961,119264.00,1,1,싸이킥 불릿,r,993,3
1768609676.7350006,108304.00,1,1,Key:left,left,1023,30
1768609680.7304583,137914.00,1,1,Key:right,right,1032,9
1768609684.667164,114288.00,1,1,싸이킥 불릿,r,1056,24
1768609688.7724235,135032.00,1,1,싸이킥 불릿,r,1070,14
1768609692.8789322,73897.00,1,1,싸이킥 불릿,r,1084,14
1768609696.8397756,135672.00,1,1,Key:e,e,1109,25
1768609701.4268556,113877.00,1,1,Key:left,left,1125,16
1768609705.5535476,80585.00,1,1,Key:left,left,1144,19
1768609709.7215447,95952.00,1,1,Key:right,right,1162,18
1768609714.0425375,86978.00,1,1,싸이킥 불릿,r,1178,16
1768609718.3036013,112967.00,1,1,싸이킥 불릿,r,1186,8
1768609722.5880117,113857.00,1,1,Key:e,e,1214,28
1768609726.9843373,92237.00,1,1,Key:left,left,1224,10
1768609731.5811906,109385.00,1,1,Key:left,left,1257,33
1768609736.5720725,76521.00,1,1,싸이킥 불릿,r,1276,19
1768609741.1043913,116586.00,1,1,에르다 샤워,4,1276,0
1768609745.6465905,71902.00,1,1,Key:e,e,1298,22
1768609750.642019,103176.00,1,1,Key:e,e,1319,21
1768609755.182253,145358.00,1,1,싸이킥 불릿,r,1336,17
1768609759.749912,106948.00,1,1,싸이킥 불릿,r,1374,38
1768609764.2437694,149146.00,1,1,싸이킥 불릿,r,1387,13
1768609768.8924823,88095.00,1,1,싸이킥 불릿,r,1404,17
1768609774.0950398,82682.00,1,1,Key:left,left,1423,19
1768609778.9952447,90559.00,1,1,Key:e,e,1445,22
1768609783.7824225,81555.00,1,1,Key:left,left,1464,19
1768609789.0922427,76378.00,1,1,Key:right,right,1489,25
1768609793.8820534,141304.00,1,1,싸이킥 불릿,r,1514,25
1768609799.3320806,87855.00,1,1,Key:e,e,1533,19
1768609804.3622928,101530.00,1,1,싸이킥 불릿,r,1547,14
1768609809.2412603,140997.00,1,1,Key:right,right,1580,33
1768609814.3201137,102575.00,1,1,싸이킥 불릿,r,1600,20
1768609819.3374689,87141.00,1,1,Key:right,right,1624,24
1768609825.0313516,92594.00,1,1,Key:e,e,1663,39
1768609830.1345837,97371.00,1,1,싸이킥 불릿,r,1676,13
1768609835.2772372,113958.00,1,1,싸이킥 불릿,r,1714,38
1768609840.5413592,95419.00,1,1,Key:right,right,1744,30
1768609845.8011515,86723.00,1,1,싸이킥 불릿,r,1752,8
1768609851.6422338,99041.00,1,1,Key:e,e,1767,15
1768609857.5304828,116187.00,1,1,Key:right,right,1808,41
1768609863.472428,77947.00,1,1,싸이킥 불릿,r,1825,17
1768609869.4186063,138247.00,1,1,Key:e,e,1859,34
1768609875.4537368,130434.00,1,1,Key:e,e,1876,17
1768609881.4890356,82176.00,1,1,Key:e,e,1913,37
1768609887.536038,89440.00,1,1,Key:e,e,1939,26
1768609893.6377292,80595.00,1,1,Key:e,e,1968,29
